PK_Nr,Sortierklasse,A_cm2,sigma_max,E_mod,n_points,a_hat,k_hat,rmse,method,force_col_header,strain_col_header,QC_flag,grade,density_kg_m3,moisture_pct,failure_mode,grain_angle_class,clamping_pressure,grade_m,outlier_ahat
537,s 10,5.102846,44.10137392569754,10.478185219016698,2197,0.5468619328414552,7.051489752470486,0.0804093949751214,sigmoid,Kraft [kN],e_sensor,1,S10,401.2839545540719,12.06788136515886,Spröder Bruch,<12,80 bar,S10,0
546,s 10,5.0508180000000005,65.01440707228016,18.17936717142132,3485,0.5199516994169306,5.788343646503845,0.060853293300309,sigmoid,Kraft [kN],e_sensor,1,S10,463.65695636887875,11.51488154424648,Schubversagen,<7,00 bar,S10,0
547,s 10,5.05008,46.7088477744412,12.072750493329842,2467,0.5429618118164283,6.742924796306199,0.0752363688831076,sigmoid,Kraft [kN],e_sensor,1,S10,396.371003157527,11.154401610605717,Zug-/Schubversagen im Einspannbereich,<7,80 bar,S10,0
567,s 10,5.058144,54.19798852479288,9.712872142963615,3076,0.5283164650678969,6.286260460452491,0.0657037873171969,sigmoid,Kraft [kN],e_sensor,1,S10,395.34184440518,11.542125773081267,Zug-/Schubversagen im Einspannbereich,<7,80 bar,S10,0
572,s 10,5.067084,56.72100514936204,12.943126178156303,2911,0.5275076572235387,6.099979086091012,0.0686812252118117,sigmoid,Kraft [kN],e_sensor,1,S10,385.68823196238964,10.763576572739726,Zug-/Schubversagen im Einspannbereich,<7,80 bar,S10,0
578,s 10,4.990883999999999,55.733891374504005,12.65690288377967,2725,0.5289485271751878,6.21525690815305,0.0709149382864791,sigmoid,Kraft [kN],e_sensor,1,S10,390.0032800308338,11.602832292818263,Zug-/Schubversagen,<7,80 bar,S10,0
175,s 13,5.04482,66.62109754411456,19.70801503404389,3646,0.5177758116209944,5.826209613041208,0.0602483969837354,sigmoid,Kraft [kN],e_sensor,1,S13,501.6657031182776,11.05616674030763,Zug-/Schubversagen im Einspannbereich,<7,60 bar,S13,0
184,s 13,5.100095,36.92551851362573,11.490853574518113,1862,0.5704425791255159,8.160061175218903,0.0853930744615114,sigmoid,Kraft [kN],e_sensor,1,S13,346.59762757842907,10.339119288866359,Zug-/Schubversagen im Einspannbereich,<7,60 bar,S13,0
192,s 13,5.0851500000000005,41.96840309528726,8.672590028023185,2140,0.5507594106828337,7.212298059633737,0.0762876409305282,sigmoid,Kraft [kN],e_sensor,1,S13,344.89007759583944,11.048467696518198,Zug-/Schubversagen im Einspannbereich,<7,60 bar,S13,0
199,s 13,5.04861,36.031599229788,8.82180852004138,1778,0.5757232383792508,8.561301731688616,0.0870219237563943,sigmoid,Kraft [kN],e_sensor,1,S13,319.00111499275556,10.422760296235612,Spröder Bruch,<7,60 bar,S13,0
204,s 13,5.099448,77.2673244486462,38.40074734818288,4131,0.5145501822805386,5.469753674873241,0.0550346429895429,sigmoid,Kraft [kN],e_sensor,1,S13,499.9556553603477,11.128868276042411,Schubversagen,<7,60 bar,S13,0
215,s 13,5.107306,67.96387463126352,20.3095162799078,3449,0.5173084338064465,5.72389437671854,0.0613778922581427,sigmoid,Kraft [kN],e_sensor,1,S13,523.0993086322378,10.550983098702241,Schubversagen,<7,60 bar,S13,0
231,s 13,5.193363,53.06979748117935,17.689926459709163,3218,0.5290356769260833,6.290537642437173,0.0657776936355246,sigmoid,Kraft [kN],e_sensor,1,S13,467.05315104888155,11.172738106245692,Schubversagen,<7,60 bar,S13,0
233,s 13,5.063088,35.0097261234152,10.57330578216139,1738,0.5793222705982869,8.711916793462368,0.084855622750654,sigmoid,Kraft [kN],e_sensor,1,S13,329.14063771163376,9.876404028290738,Zug-/Schubversagen,<7,60 bar,S13,0
336,s 13,5.139944000000001,61.17618937093477,13.66090569606368,3078,0.5218840526554057,5.899108345476214,0.0654508863919716,sigmoid,Kraft [kN],e_sensor,1,S13,463.60886506929137,11.349589580496678,Zug-/Schubversagen im Einspannbereich,<7,60 bar,S13,0
338,s 13,5.228554,34.59767285204475,8.791635019006089,1788,0.5756362855117001,8.42814316070376,0.0829997418406682,sigmoid,Kraft [kN],e_sensor,1,S13,334.6495622689233,11.241799060025912,Zug-/Schubversagen an Ästen,<7,80 bar,S13,0
354,s 13,5.182734,75.53356792476713,23.999981554783687,4209,0.5135741317834561,5.486013958909773,0.0536484143661755,sigmoid,Kraft [kN],e_sensor,1,S13,504.1029744006117,11.3900243925203,Schubversagen,<7,00 bar,S13,0
362,s 13,5.14,77.6967640442607,36.02576264798528,4850,0.5108325711977751,5.621516886594004,0.0522644324095829,sigmoid,Kraft [kN],e_sensor,1,S13,516.4202476653655,11.532110014777327,Zug-/Schubversagen,<7,100 bar,S13,0
383,s 13,5.215617,62.69048336587024,16.521653443502615,3194,0.519844994850264,5.803630673193773,0.0632806039921042,sigmoid,Kraft [kN],e_sensor,1,S13,460.9275302017222,11.291741847640466,Schubversagen,<7,00 bar,S13,0
565,s 13,5.09545,46.68057869030213,10.889740234798952,2462,0.5414471887216699,6.711627749473187,0.0743708665576417,sigmoid,Kraft [kN],e_sensor,1,S13,333.72890381299703,11.204817323325484,Zug-/Schubversagen,<7,80 bar,S13,0
2,s 7,5.112555,38.19918792438419,10.496680301451375,2312,0.5686989501721623,7.3362001485611135,0.0747138864845213,sigmoid,Kraft [kN],e_sensor,1,S7,384.67597507724474,11.033538436711643,Zug-/Schubversagen,<7,60 bar,S7,0
3,s 7,5.099304,53.08400987786765,12.506438048294044,2901,0.5320998602905221,6.244052066240828,0.0688342291325129,sigmoid,Kraft [kN],e_sensor,1,S7,393.89915112763856,11.023115698601604,Zug-/Schubversagen,<7,60 bar,S7,0
9,s 7,5.196890000000001,47.551189419296925,12.123520220860255,2418,0.5377623788089498,6.613260594976872,0.0758123896696388,sigmoid,Kraft [kN],e_sensor,1,S7,376.48853252557177,11.38671159859819,Zug-/Schubversagen im Einspannbereich,<16,60 bar,S7,0
10,s 7,5.131462,45.01334274959066,8.64062611948042,2262,0.5424843094527405,6.792622070084039,0.0740974123237945,sigmoid,Kraft [kN],e_sensor,1,S7,356.52397686404925,11.948537458094332,Zug-/Schubversagen,<16,60 bar,S7,0
14,s 7,5.0851500000000005,25.34013715180476,8.417107892262448,1321,0.6713702926069799,15.193336783731691,0.0842540440131818,sigmoid,Kraft [kN],e_sensor,1,S7,393.10845171092103,11.161235660626174,Zug-/Schubversagen,<12,60 bar,S7,0
20,s 7,5.0298,29.75092666457911,8.592644613320173,1459,0.6130803222113957,10.29597379971664,0.0750999191548691,sigmoid,Kraft [kN],e_sensor,1,S7,389.35421790004176,10.969304238379847,Splitternder Bruch,<12,60 bar,S7,0
25,s 7,5.111304,40.08399507738143,13.652326684041254,1999,0.5576872192726312,7.567452030353266,0.0827992007223168,sigmoid,Kraft [kN],e_sensor,1,S7,390.43854208362575,10.738720065406397,Zug-/Schubversagen,<7,60 bar,S7,0
34,s 7,5.047018,37.32403532640462,11.335100611995507,2264,0.5740820396063151,7.671767385362931,0.0759057817647753,sigmoid,Kraft [kN],e_sensor,1,S7,375.8266026137831,10.6921022888197,Zug-/Schubversagen,<7,60 bar,S7,0
