sequence,n_events,a_hat,k,R2,max_mag,max_mag_pos,total_energy_log
seq_241,8,0.34854241754452453,99.99999947448379,0.999750880848056,6.8,0.42857142857142855,15.00114319730087
seq_242,9,0.5748302597215402,8.083797466738735,0.9744546753752884,3.59,0.0,10.416667091050655
seq_243,10,0.5351654903592373,5.251877533183814,0.9657820564623744,4.6,0.0,12.312863155530955
seq_244,9,0.0988020206671262,78.26587986835185,0.9984390052986786,4.29,0.125,11.384470823022484
seq_245,67,0.2345943205684156,99.99999999999999,0.982934474365303,5.8,0.24242424242424243,13.518562656135943
seq_246,10,0.39740596570209435,30.36249493488105,0.9343552269423913,3.7,0.4444444444444444,10.59978652365286
seq_247,8,0.747648557727578,99.99843388612292,0.997695110061424,5.9,0.8571428571428571,13.66626453458725
seq_248,9,0.40343963723392,3.662033248259892,0.8747095132635025,4.9,0.125,12.627470305750766
seq_249,10,0.38898736365826503,34.80868855948534,0.9827154901967807,4.17,0.4444444444444444,11.206892395160136
seq_250,12,0.6098600098801177,5.138868401605806,0.9509536715262212,4.5,0.9090909090909091,12.159996551789654
seq_251,8,0.6108195774003966,6.101967359732198,0.9851815583294541,4.6,0.5714285714285714,12.407279504968407
seq_252,16,0.38787377059836714,9.806241417850737,0.9534619318090901,3.74,0.5333333333333333,10.848223726393812
seq_253,34,0.20184052353440607,99.9999999999874,0.9374724740345979,4.59,0.21212121212121213,11.861957361892662
seq_254,8,0.3555187884444686,35.52784916479446,0.995588846230787,5.3,0.42857142857142855,12.848668168895246
seq_255,12,0.6640704840325576,3.153087943989102,0.8008886499117823,5.8,0.0,13.6082530194061
seq_256,9,0.09606524061213154,42.961157917894525,0.8882964895435713,3.5,0.125,10.244244810028222
seq_257,15,0.25331027900007663,99.99999999999999,0.9989939989501073,4.72,0.2857142857142857,11.904222824894203
seq_258,11,0.3468014581563855,99.99999999999896,0.9998334022202797,6.2,0.4,14.10700749210563
seq_259,61,0.04315013082231562,5.606733502932007,0.7017544008188654,6.8,0.03333333333333333,15.209523884276091
seq_260,11,0.3591623455981125,87.95630884944458,0.9999365028195013,6.1,0.4,13.970262299573843
seq_261,12,0.06957181132924327,77.66040835984721,0.9734256979843534,4.22,0.09090909090909091,11.244329086527522
seq_262,11,0.6481683599690763,10.020683081326853,0.9526182954077757,3.65,0.8,10.580749668672635
seq_263,207,0.20684758026256786,14.028801672958092,0.9117474179177765,4.93,0.1650485436893204,12.502737361505535
